name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
charternum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4805,0,196,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,907,3630,464,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,1397,2868,436,300,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4833,0,168,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,944,3647,410,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,1436,2879,386,300,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4812,0,189,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,916,3637,448,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,1382,2898,421,300,0,0,0,*
