name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4854,0,147,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,902,3766,333,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,1456,2937,312,296,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4833,0,168,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,869,3759,373,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,1426,2930,349,296,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4833,0,168,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,956,3672,373,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,1474,2882,349,296,0,0,0,*
