name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
charternum,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4840,0,161,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,945,3673,383,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,1422,2919,360,300,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4812,0,189,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,958,3595,448,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,1418,2862,421,300,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4805,0,196,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,952,3588,461,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,1407,2861,433,300,0,0,0,*
