name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Report_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Table_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
CO,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
DIST,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SCHL,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Text,35,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"Aerobic Capacity,Body Composition,Abdominal Strength,Trunk Extension Strength,Upper Body Strength,Flexibility"
NoStud5,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ5,3,<type 'int'>,True,5001,4405,0,596,0,0,0,0,**
Perc5a,5,<type 'float'>,True,5001,4267,138,596,0,0,0,0,**
Perc5b,5,<type 'float'>,True,5001,4264,141,596,0,0,0,0,**
Perc5c,5,<type 'float'>,True,5001,4361,44,596,0,0,0,0,**
NoStud7,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ7,3,<type 'int'>,True,5001,4599,0,402,0,0,0,0,**
Perc7a,5,<type 'float'>,True,5001,4532,67,402,0,0,0,0,**
Perc7b,5,<type 'float'>,True,5001,4533,66,402,0,0,0,0,**
Perc7c,5,<type 'float'>,True,5001,4581,18,402,0,0,0,0,**
NoStud9,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ9,3,<type 'int'>,True,5001,4641,0,360,0,0,0,0,**
Perc9a,5,<type 'float'>,True,5001,4581,60,360,0,0,0,0,**
Perc9b,5,<type 'float'>,True,5001,4581,60,360,0,0,0,0,**
Perc9c,5,<type 'float'>,True,5001,4620,21,360,0,0,0,0,**
ChrtNum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
