name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Report_Number,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Table_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
CO,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
DIST,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SCHL,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Text,35,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"Aerobic Capacity,Body Composition,Abdominal Strength,Trunk Extension Strength,Upper Body Strength,Flexibility"
NoStud5,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ5,3,<type 'str'>,False,5001,3673,0,1328,0,0,0,0,**
Perc5a,5,<type 'str'>,False,5001,3460,213,1328,0,0,0,0,**
Perc5b,5,<type 'str'>,False,5001,3453,220,1328,0,0,0,0,**
Perc5c,5,<type 'str'>,False,5001,3601,72,1328,0,0,0,0,**
NoStud7,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ7,3,<type 'int'>,True,5001,4311,0,690,0,0,0,0,**
Perc7a,5,<type 'float'>,True,5001,4051,260,690,0,0,0,0,**
Perc7b,5,<type 'float'>,True,5001,4055,256,690,0,0,0,0,**
Perc7c,5,<type 'float'>,True,5001,4224,87,690,0,0,0,0,**
NoStud9,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ9,3,<type 'int'>,True,5001,4584,0,417,0,0,0,0,**
Perc9a,5,<type 'float'>,True,5001,4410,174,417,0,0,0,0,**
Perc9b,5,<type 'float'>,True,5001,4414,170,417,0,0,0,0,**
Perc9c,5,<type 'float'>,True,5001,4527,57,417,0,0,0,0,**
ChrtNum,4,<type 'int'>,True,5001,4995,0,6,0,0,0,0,00D9
