name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
charternum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4931,0,70,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,1117,3736,148,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,2029,2579,138,255,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4938,0,63,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,1178,3689,134,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,2104,2517,125,255,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4917,0,84,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,1229,3597,175,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,2115,2468,163,255,0,0,0,*
