name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
charternum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4924,0,77,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,1292,3521,188,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,2013,2553,177,258,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4931,0,70,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,1315,3520,166,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,2032,2555,156,258,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4910,0,91,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,1207,3589,205,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,1925,2626,192,258,0,0,0,*
