CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
00000000000000,Statewide,T,N,All,1,4357,2933,67.32,962,22.10,33,0.80,410,9.40,19,0.40,0910
00000000000000,Statewide,T,N,MIG,All,15168,10790,71.14,2845,18.80,85,0.60,1400,9.20,48,0.30,0910
00000000000000,Statewide,T,N,FEM,2,22105,20075,90.82,1381,6.20,32,0.10,603,2.70,14,0.10,0910
01000000000000,Alameda,O,N,All,1,104,71,68.27,23,22.10,*,1.00,*,8.70,*,0.00,0910
01000000000000,Alameda,O,N,MAL,4,498,401,80.52,59,11.80,*,0.40,35,7.00,*,0.20,0910
01000000000000,Alameda,O,N,All,5,4714,3072,65.17,1197,25.40,16,0.30,426,9.00,*,0.10,0910
01100170000000,Alameda County Office of Education,D,N,MIG,All,216,138,63.89,53,24.50,*,0.50,24,11.10,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,All,1,*,*,50.00,*,0.00,*,0.00,*,50.00,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,MAL,1,*,*,50.00,*,0.00,*,0.00,*,50.00,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,All,0,*,*,20.00,*,80.00,*,0.00,*,0.00,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,All,4,*,*,66.67,*,33.30,*,0.00,*,0.00,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,FEM,5,*,*,60.00,*,20.00,*,0.00,*,20.00,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,EL,All,18,14,77.78,*,16.70,*,0.00,*,5.60,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,MAL,All,34,21,61.76,*,29.40,*,0.00,*,8.80,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,All,7,30,22,73.33,*,13.30,*,0.00,*,13.30,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,FEM,All,37,28,75.68,*,13.50,*,0.00,*,10.80,*,0.00,0910
01100170109835,FAME Public Charter,D,Y,FEM,All,37,28,75.68,*,13.50,*,0.00,*,10.80,*,0.00,0910
01100170109835,FAME Public Charter,S,Y,SD,All,39,30,76.92,*,7.70,*,0.00,*,15.40,*,0.00,0910
01100170112607,Envision Academy for Arts & Technology,D,Y,MAL,7,*,*,66.67,*,33.30,*,0.00,*,0.00,*,0.00,0910
01100170130401,Alameda County Juvenile Hall/Court,S,N,FEM,9,113,97,85.84,*,8.80,*,0.00,*,5.30,*,0.00,0910
01100170130401,Alameda County Juvenile Hall/Court,S,N,All,7,4545,3998,87.96,368,8.10,13,0.30,157,3.50,*,0.20,0910
01100170130419,Alameda County Community,S,N,All,7,4545,3998,87.96,368,8.10,13,0.30,157,3.50,*,0.20,0910
01100170130427,Alameda County Opportunity,S,N,All,1,104,71,68.27,23,22.10,*,1.00,*,8.70,*,0.00,0910
01100170130427,Alameda County Opportunity,S,N,FEM,3,145,110,75.86,31,21.40,*,0.00,*,2.80,*,0.00,0910
01100170130427,Alameda County Opportunity,S,N,All,3,291,213,73.20,63,21.60,*,0.00,15,5.20,*,0.00,0910
01100170130427,Alameda County Opportunity,S,N,SE,All,2384,1491,62.54,511,21.40,59,2.50,320,13.40,*,0.10,0910
01316170131763,California School for the Deaf-Fremont,S,N,SE,All,2384,1491,62.54,511,21.40,59,2.50,320,13.40,*,0.10,0910
01316170131763,California School for the Deaf-Fremont,S,N,MAL,7,2336,1995,85.40,228,9.80,*,0.30,99,4.20,*,0.30,0910
01611190000000,Alameda City Unified,D,N,All,1,*,*,75.00,*,0.00,*,25.00,*,0.00,*,0.00,0910
01611190000000,Alameda City Unified,D,N,FEM,1,*,*,75.00,*,0.00,*,25.00,*,0.00,*,0.00,0910
01611190000000,Alameda City Unified,D,N,MAL,5,72,54,75.00,*,11.10,*,0.00,*,13.90,*,0.00,0910
01611190000000,Alameda City Unified,D,N,FEM,2,166,149,89.76,13,7.80,*,0.00,*,2.40,*,0.00,0910
01611190000000,Alameda City Unified,D,N,SD,All,629,512,81.40,71,11.30,*,0.60,42,6.70,*,0.00,0910
01611190106401,Alameda Science and Technology Institute,S,N,All,3,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,0910
01611190106401,Alameda Science and Technology Institute,S,N,All,6,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190106401,Alameda Science and Technology Institute,S,N,MAL,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190130229,Alameda High,S,N,All,5,36,36,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190130229,Alameda High,S,N,All,7,135,120,88.89,11,8.10,*,2.20,*,0.70,*,0.00,0910
01611190130229,Alameda High,S,N,MAL,All,251,230,91.63,15,6.00,*,1.20,*,1.20,*,0.00,0910
01611190130229,Alameda High,S,N,All,All,460,419,91.09,31,6.70,*,1.10,*,1.10,*,0.00,0910
01611190130609,Alameda Community Learning Center,S,N,MAL,5,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190130609,Alameda Community Learning Center,S,N,SE,All,*,*,88.89,*,11.10,*,0.00,*,0.00,*,0.00,0910
01611190130625,Bay Area School of Enterprise,D,Y,All,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190132878,Encinal High,S,N,MIG,All,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611190132878,Encinal High,S,N,MAL,0,*,*,50.00,*,50.00,*,0.00,*,0.00,*,0.00,0910
01611190132878,Encinal High,S,N,All,4,36,34,94.44,*,5.60,*,0.00,*,0.00,*,0.00,0910
01611190134304,Island High (Continuation),S,N,FEM,5,44,33,75.00,*,9.10,*,0.00,*,15.90,*,0.00,0910
01611190134304,Island High (Continuation),S,N,MAL,6,64,35,54.69,16,25.00,*,0.00,13,20.30,*,0.00,0910
01611190134304,Island High (Continuation),S,N,FEM,7,111,94,84.68,14,12.60,*,0.90,*,0.90,*,0.90,0910
01611190134304,Island High (Continuation),S,N,All,All,927,758,81.77,104,11.20,*,0.50,59,6.40,*,0.10,0910
01611270000000,Albany City Unified,D,N,MAL,1,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611270000000,Albany City Unified,D,N,MAL,3,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611270000000,Albany City Unified,D,N,All,All,349,322,92.26,23,6.60,*,0.30,*,0.90,*,0.00,0910
01611270130294,MacGregor High (Continuation),S,N,All,4,*,*,83.33,*,16.70,*,0.00,*,0.00,*,0.00,0910
01611270130294,MacGregor High (Continuation),S,N,All,2,133,131,98.50,*,1.50,*,0.00,*,0.00,*,0.00,0910
01611270130450,Albany High,S,N,MAL,4,*,*,50.00,*,50.00,*,0.00,*,0.00,*,0.00,0910
01611270130450,Albany High,S,N,All,7,119,114,95.80,*,4.20,*,0.00,*,0.00,*,0.00,0910
01611430000000,Berkeley Unified,D,N,MAL,9,35,33,94.29,*,5.70,*,0.00,*,0.00,*,0.00,0910
01611430000000,Berkeley Unified,D,N,All,5,150,122,81.33,22,14.70,*,0.00,*,4.00,*,0.00,0910
01611430000000,Berkeley Unified,D,N,All,6,281,211,75.09,55,19.60,*,0.40,14,5.00,*,0.00,0910
01611430000000,Berkeley Unified,D,N,SD,All,398,311,78.14,67,16.80,*,0.50,18,4.50,*,0.00,0910
01611430000001,"Non-public, non-sectarian schools",S,N,MAL,6,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,0910
01611430131177,Berkeley High,S,N,MAL,1,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611430131177,Berkeley High,S,N,MAL,0,13,*,15.38,11,84.60,*,0.00,*,0.00,*,0.00,0910
01611430131177,Berkeley High,S,N,MAL,9,34,32,94.12,*,5.90,*,0.00,*,0.00,*,0.00,0910
01611430131177,Berkeley High,S,N,MAL,6,110,81,73.64,23,20.90,*,0.90,*,4.50,*,0.00,0910
01611430131177,Berkeley High,S,N,All,7,273,245,89.74,27,9.90,*,0.00,*,0.40,*,0.00,0910
01611430131177,Berkeley High,S,N,SD,All,330,269,81.52,49,14.80,*,0.60,*,3.00,*,0.00,0910
01611430134924,Berkeley Technology Academy,S,N,MAL,0,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,0910
01611430134924,Berkeley Technology Academy,S,N,All,6,51,32,62.75,15,29.40,*,0.00,*,7.80,*,0.00,0910
01611500000000,Castro Valley Unified,D,N,All,1,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,0910
01611500000000,Castro Valley Unified,D,N,All,3,*,*,83.33,*,16.70,*,0.00,*,0.00,*,0.00,0910
01611500000000,Castro Valley Unified,D,N,MAL,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611500000000,Castro Valley Unified,D,N,EL,All,48,45,93.75,*,4.20,*,0.00,*,2.10,*,0.00,0910
01611500000000,Castro Valley Unified,D,N,All,All,823,782,95.02,33,4.00,*,0.40,*,0.60,*,0.00,0910
01611500000001,"Non-public, non-sectarian schools",S,N,MAL,7,*,*,33.33,*,0.00,*,33.30,*,33.30,*,0.00,0910
01611500102194,Redwood Alternative High,S,N,MAL,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611500102194,Redwood Alternative High,S,N,All,5,141,132,93.62,*,6.40,*,0.00,*,0.00,*,0.00,0910
01611500102194,Redwood Alternative High,S,N,SD,All,176,157,89.20,16,9.10,*,0.00,*,1.70,*,0.00,0910
01611500102194,Redwood Alternative High,S,N,All,7,359,341,94.99,12,3.30,*,0.80,*,0.80,*,0.00,0910
01611500102194,Redwood Alternative High,S,N,FEM,All,412,390,94.66,16,3.90,*,0.50,*,1.00,*,0.00,0910
01611500132225,Castro Valley High,S,N,FEM,5,44,43,97.73,*,2.30,*,0.00,*,0.00,*,0.00,0910
01611500132225,Castro Valley High,S,N,SE,All,54,49,90.74,*,3.70,*,3.70,*,1.90,*,0.00,0910
01611500135533,Redwood Continuation High,S,N,FEM,3,*,*,75.00,*,25.00,*,0.00,*,0.00,*,0.00,0910
01611500135533,Redwood Continuation High,S,N,MAL,5,82,79,96.34,*,3.70,*,0.00,*,0.00,*,0.00,0910
01611680000000,Emery Unified,D,N,SE,All,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611680000000,Emery Unified,D,N,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611680000000,Emery Unified,D,N,EL,All,*,*,83.33,*,16.70,*,0.00,*,0.00,*,0.00,0910
01611680132746,Emery Secondary,S,N,All,7,*,*,66.67,*,33.30,*,0.00,*,0.00,*,0.00,0910
01611680132746,Emery Secondary,S,N,SE,All,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611680132746,Emery Secondary,S,N,MAL,5,*,*,57.14,*,28.60,*,0.00,*,14.30,*,0.00,0910
01611680132746,Emery Secondary,S,N,FEM,5,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611680132746,Emery Secondary,S,N,All,5,12,*,75.00,*,16.70,*,0.00,*,8.30,*,0.00,0910
01611680132746,Emery Secondary,S,N,All,2,12,12,100.00,*,0.00,*,0.00,*,0.00,*,0.00,0910
01611680132746,Emery Secondary,S,N,FEM,6,19,17,89.47,*,10.50,*,0.00,*,0.00,*,0.00,0910
01611760000000,Fremont Unified,D,N,FEM,3,*,*,87.50,*,0.00,*,0.00,*,12.50,*,0.00,0910
01611760000000,Fremont Unified,D,N,MAL,3,13,*,76.92,*,7.70,*,0.00,*,15.40,*,0.00,0910
01611760000000,Fremont Unified,D,N,All,9,27,22,81.48,*,11.10,*,0.00,*,7.40,*,0.00,0910
01611760000000,Fremont Unified,D,N,MAL,5,214,139,64.95,24,11.20,*,0.50,50,23.40,*,0.00,0910
