CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
00000000000000,Statewide,T,N,All,2,44774,40772,91.06,2452,5.50,156,0.30,1345,3.00,49,0.10,1112
00000000000000,Statewide,T,N,All,9,7723,6484,83.96,731,9.50,41,0.50,438,5.70,29,0.40,1112
00000000000000,Statewide,T,N,FEM,5,119719,94274,78.75,15355,12.80,521,0.40,9414,7.90,155,0.10,1112
00000000000000,Statewide,T,N,MAL,0,1172,544,46.42,457,39.00,*,0.50,161,13.70,*,0.30,1112
00000000000000,Statewide,T,N,SD,All,324372,236935,73.04,52797,16.30,2056,0.60,31699,9.80,885,0.30,1112
01000000000000,Alameda,O,N,All,1,78,54,69.23,16,20.50,*,2.60,*,7.70,*,0.00,1112
01000000000000,Alameda,O,N,FEM,0,44,25,56.82,15,34.10,*,0.00,*,9.10,*,0.00,1112
01000000000000,Alameda,O,N,MAL,All,8746,6663,76.18,1346,15.40,67,0.80,651,7.40,19,0.20,1112
01000000000000,Alameda,O,N,MAL,7,2062,1814,87.97,161,7.80,17,0.80,65,3.20,*,0.20,1112
01100170000000,Alameda County Office of Education,D,N,All,4,960,860,89.58,56,5.80,*,0.40,40,4.20,*,0.00,1112
01100170000000,Alameda County Office of Education,D,N,FEM,All,8367,6991,83.55,904,10.80,44,0.50,420,5.00,*,0.10,1112
01100170000000,Alameda County Office of Education,D,N,FEM,7,2014,1858,92.25,107,5.30,*,0.30,39,1.90,*,0.10,1112
01100170000000,Alameda County Office of Education,D,N,MAL,3,133,99,74.44,24,18.00,*,0.00,*,6.80,*,0.80,1112
01100170109835,FAME Public Charter,D,Y,All,6,*,*,25.00,*,25.00,*,0.00,*,50.00,*,0.00,1112
01100170109835,FAME Public Charter,D,Y,FEM,7,34,31,91.18,*,8.80,*,0.00,*,0.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,All,2,14,13,92.86,*,7.10,*,0.00,*,0.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,FEM,6,*,*,0.00,*,0.00,*,0.00,*,100.00,*,0.00,1112
01100170109835,FAME Public Charter,S,Y,SD,All,49,38,77.55,*,12.20,*,0.00,*,10.20,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,All,7,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,D,Y,MAL,All,37,28,75.68,*,16.20,*,2.70,*,5.40,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,All,All,61,48,78.69,*,11.50,*,1.60,*,8.20,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,FEM,All,24,20,83.33,*,4.20,*,0.00,*,12.50,*,0.00,1112
01100170112607,Envision Academy for Arts & Technology,S,Y,MAL,5,*,*,70.00,*,10.00,*,10.00,*,10.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,All,5,28,23,82.14,*,3.60,*,0.00,*,14.30,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,D,Y,MAL,All,25,18,72.00,*,8.00,*,0.00,*,20.00,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,All,All,48,38,79.17,*,6.30,*,0.00,*,14.60,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,FEM,6,*,*,77.78,*,11.10,*,0.00,*,11.10,*,0.00,1112
01100170118489,Aspire California College Preparatory Academy,S,Y,SD,All,48,38,79.17,*,6.30,*,0.00,*,14.60,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,All,1,78,54,69.23,16,20.50,*,2.60,*,7.70,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,FEM,0,44,25,56.82,15,34.10,*,0.00,*,9.10,*,0.00,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,MAL,All,8746,6663,76.18,1346,15.40,67,0.80,651,7.40,19,0.20,1112
01100170130401,Alameda County Juvenile Hall/Court,S,N,MAL,7,2062,1814,87.97,161,7.80,17,0.80,65,3.20,*,0.20,1112
01100170130419,Alameda County Community,S,N,All,4,960,860,89.58,56,5.80,*,0.40,40,4.20,*,0.00,1112
01100170130419,Alameda County Community,S,N,FEM,All,8367,6991,83.55,904,10.80,44,0.50,420,5.00,*,0.10,1112
00000000000000,Statewide,T,N,All,1,4008,2900,72.36,737,18.40,24,0.60,330,8.20,17,0.40,1112
00000000000000,Statewide,T,N,FEM,0,984,554,56.30,348,35.40,*,0.20,78,7.90,*,0.20,1112
00000000000000,Statewide,T,N,MAL,All,256319,191973,74.90,39854,15.50,1753,0.70,21908,8.50,831,0.30,1112
00000000000000,Statewide,T,N,MAL,7,73505,61471,83.63,7403,10.10,468,0.60,3887,5.30,276,0.40,1112
01000000000000,Alameda,O,N,All,4,960,860,89.58,56,5.80,*,0.40,40,4.20,*,0.00,1112
01000000000000,Alameda,O,N,FEM,All,8367,6991,83.55,904,10.80,44,0.50,420,5.00,*,0.10,1112
01000000000000,Alameda,O,N,FEM,7,2014,1858,92.25,107,5.30,*,0.30,39,1.90,*,0.10,1112
01000000000000,Alameda,O,N,MAL,3,133,99,74.44,24,18.00,*,0.00,*,6.80,*,0.80,1112
01100170000000,Alameda County Office of Education,D,N,All,6,2791,1744,62.49,691,24.80,33,1.20,318,11.40,*,0.20,1112
01100170000000,Alameda County Office of Education,D,N,EL,All,3209,2035,63.42,720,22.40,37,1.20,412,12.80,*,0.20,1112
01100170000000,Alameda County Office of Education,D,N,FEM,3,134,104,77.61,25,18.70,*,0.70,*,3.00,*,0.00,1112
01100170000000,Alameda County Office of Education,D,N,MAL,5,2423,1551,64.01,561,23.20,21,0.90,282,11.60,*,0.30,1112
