name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
CDS,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Name,59,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"Statewide,Alameda,Alameda County Office of Education,FAME Public Charter,Envision Academy for Arts & Technology,Aspire California College Preparatory Academy,Alameda County Juvenile Hall/Court,Alameda County Community,Alameda County Opportunity,California School for the Blind (State Special Schl),California School for the Blind,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Alameda City Unified,Non-public, non-sectarian schools,Alameda Science and Technology Institute,Alameda High,Alameda Community Learning Center,Bay Area School of Enterprise,Encinal High"
AggLevel,1,<type 'str'>,False,5001,0,0,4967,0,0,34,0,"T,O,D,S"
DFC,1,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"N,Y"
Subgroup,3,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"MAL,All,FEM,MIG,SD,EL,SE"
Subgrouptype,3,<type 'str'>,False,5001,3685,0,1316,0,0,0,0,All
NumCohort,6,<type 'str'>,False,5001,2937,0,2064,0,0,0,0,*
NumGraduates,6,<type 'str'>,False,5001,2711,0,2290,0,0,0,0,*
Cohort Graduation Rate,6,<type 'float'>,False,5001,2060,2941,0,0,0,0,0,
NumDropouts,5,<type 'str'>,False,5001,1322,0,3679,0,0,0,0,*
Cohort Dropout Rate,6,<type 'float'>,False,5001,2298,2703,0,0,0,0,0,
NumSpecialEducation,4,<type 'str'>,False,5001,232,0,4769,0,0,0,0,*
Special Ed Completers Rate,6,<type 'float'>,False,5001,3883,1118,0,0,0,0,0,
NumStillEnrolled,5,<type 'str'>,False,5001,751,0,4250,0,0,0,0,*
Still Enrolled Rate,6,<type 'float'>,False,5001,2699,2302,0,0,0,0,0,
NumGED,4,<type 'str'>,False,5001,127,0,4874,0,0,0,0,*
GED Rate,5,<type 'float'>,False,5001,4348,653,0,0,0,0,0,
Year,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
