name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
CDS,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Name,80,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"River Valley Charter,Santee Education Complex,Grossmont High,Brea-Olinda High,Tesoro High,Union Mine High,Arroyo Paseo Charter High,Gompers Preparatory Academy,Coleman Tech Charter High,Home & Hosp/Transition Support,University City High,High Tech High,Morse High,Santa Rosa Academy,Palo Verde High,California Military Institute,Yreka High,Dixon Community Day,Fairfield High,San Clemente High"
AggLevel,1,<type 'str'>,False,5001,0,0,5001,0,0,0,0,S
DFC,1,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"N,Y"
Subgroup,3,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"FEM,MAL,All"
Subgrouptype,3,<type 'int'>,True,5001,4528,0,473,0,0,0,0,All
NumCohort,4,<type 'str'>,False,5001,2174,0,2827,0,0,0,0,*
NumGraduates,3,<type 'str'>,False,5001,1966,0,3035,0,0,0,0,*
Cohort Graduation Rate,6,<type 'float'>,False,5001,2985,2016,0,0,0,0,0,
NumDropouts,3,<type 'str'>,False,5001,416,0,4585,0,0,0,0,*
Cohort Dropout Rate,6,<type 'float'>,False,5001,3302,1699,0,0,0,0,0,
NumSpecialEducation,2,<type 'str'>,False,5001,22,0,4979,0,0,0,0,*
Special Ed Completers Rate,6,<type 'float'>,False,5001,4492,509,0,0,0,0,0,
NumStillEnrolled,3,<type 'str'>,False,5001,254,0,4747,0,0,0,0,*
Still Enrolled Rate,6,<type 'float'>,False,5001,3637,1364,0,0,0,0,0,
NumGED,2,<type 'str'>,False,5001,7,0,4994,0,0,0,0,*
GED Rate,6,<type 'float'>,False,5001,4893,108,0,0,0,0,0,
Year,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
